SD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
1667,1839,1910,480,2830,2236,378034
1768,2100,1751,642,2771,2291,343398
1870,2375,1795,803,2688,2335,308782
1971,2626,1639,964,2607,2375,274164
2072,2900,1886,1126,2538,2414,239535
2174,3176,1723,1287,2463,2466,204883
2275,3439,1759,1448,2382,2512,170296
2376,3692,1607,1610,2311,2535,135702
2478,3955,1635,1771,2240,2583,101056
2582,4226,1487,1935,2164,2655,66440
