SD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
4115,4299,2287,480,6420,2252,1460439
4520,5356,2263,1126,6112,2422,1321874
4926,6432,2427,1771,5811,2595,1183416
5344,7506,2446,2427,5527,2772,1044914
5764,8586,2830,3083,5232,2987,906411
6184,9664,2818,3739,4954,3188,767882
6603,10748,2996,4395,4663,3351,629351
7023,11839,3004,5051,4380,3563,490896
7443,12895,3176,5707,4102,3748,352391
7862,13964,3167,6363,3820,3932,213839
