SD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
37,37,41,33,7621,3134,1092777
42,37,41,32,7433,3758,988569
46,39,40,33,7302,4239,888351
39,38,42,36,7052,4389,785631
38,38,39,34,6869,4409,684495
40,38,39,35,6677,4216,582018
38,39,39,37,6494,3815,480220
38,40,41,36,6305,3242,378696
39,40,39,36,6120,2388,276909
39,40,39,36,5930,1342,175188
