SD-JWT,CSD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
48,45,50,52,36,36124,13340,6240628
52,44,51,52,39,34972,44591,5630720
53,49,54,54,44,33854,68457,5021771
56,49,57,56,45,32742,84932,4410592
57,50,59,57,49,31612,94040,3801336
58,53,62,58,51,30498,95949,3191737
58,58,64,59,53,29358,90213,2582038
60,58,66,61,55,28231,77552,1971992
60,59,68,62,57,27121,57424,1362286
59,59,70,63,60,25996,30262,752755
