SD-JWT,CSD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
111,1398,112,106,99,14117,3222,2035504
110,5199,121,105,218,14134,3569,1842843
111,8942,127,107,339,14138,3908,1649290
112,12699,136,108,460,14121,4228,1455252
112,16523,143,110,581,14124,4565,1261528
115,20330,150,112,702,14120,4901,1067675
116,24180,161,114,822,14117,5244,873971
118,27923,166,118,945,14126,5562,680150
118,31777,172,120,1068,14133,5896,486935
120,35558,180,117,1182,14119,6228,293252
