SD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
116,118,111,99,29409,3230,4686936
118,137,108,380,29416,4008,4231858
124,156,112,662,29410,4792,3779697
126,171,115,942,29414,5566,3327898
129,190,118,1222,29418,6343,2878416
130,209,121,1503,29404,7118,2426213
133,228,124,1782,29409,7896,1974831
137,246,126,2067,29426,8672,1523603
137,263,129,2349,29451,9438,1072563
140,280,129,2627,29422,10203,621923
